_id,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
33073,GO-201542348,1/8/2015,1/7/2015,2015,January,8,8,Thursday  ,12,2015,January,7,7,Wednesday ,15,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,98,Rosedale-Moore Park (98),98,Rosedale-Moore Park (98),-79.38419105,43.67080371
284909,GO-2022230326,2/4/2022,2/4/2022,2022,February,4,35,Friday    ,9,2022,February,4,35,Friday    ,2,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,39,Bedford Park-Nortown (39),39,Bedford Park-Nortown (39),-79.41458225,43.73434007
407073,GO-20242041389,9/17/2024,7/10/2024,2024,September,17,261,Tuesday   ,15,2024,July,10,192,Wednesday ,0,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.22226821,43.75104399
116913,GO-20171265629,7/14/2017,7/14/2017,2017,July,14,195,Friday    ,23,2017,July,14,195,Friday    ,22,D12,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,30,Brookhaven-Amesbury (30),30,Brookhaven-Amesbury (30),-79.47805104,43.70865515
11808,GO-20142124804,5/21/2014,5/21/2014,2014,May,21,141,Wednesday ,23,2014,May,21,141,Wednesday ,19,D12,"Apartment (Rooming House, Condo)",Apartment,1610,220,Robbery - Other,Robbery,30,Brookhaven-Amesbury (30),30,Brookhaven-Amesbury (30),-79.49084536,43.69862227
24091,GO-20143019520,10/1/2014,9/17/2014,2014,October,1,274,Wednesday ,20,2014,September,17,260,Wednesday ,12,D41,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,126,Dorset Park (126),126,Dorset Park (126),-79.2762171,43.77662464
183258,GO-2019766311,4/28/2019,4/28/2019,2019,April,28,118,Sunday    ,18,2019,April,28,118,Sunday    ,18,NSA,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,NSA,NSA,NSA,NSA,,
260213,GO-20211050730,6/5/2021,6/5/2021,2021,June,5,156,Saturday  ,22,2021,June,5,156,Saturday  ,22,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.25600245,43.75607447
240131,GO-20201976830,10/18/2020,8/7/2020,2020,October,18,292,Sunday    ,11,2020,August,7,220,Friday    ,1,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,84,Little Portugal (84),84,Little Portugal (84),-79.43512252,43.6486289
368873,GO-20232772753,12/1/2023,12/1/2023,2023,December,1,335,Friday    ,22,2023,December,1,335,Friday    ,22,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1457,100,Pointing A Firearm,Assault,23,Pelmo Park-Humberlea (23),23,Pelmo Park-Humberlea (23),-79.53749334,43.72037254
420089,GO-20242808178,12/30/2024,12/22/2024,2024,December,30,365,Monday    ,6,2024,December,22,357,Sunday    ,8,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.58225331,43.68920864
305076,GO-20221485101,8/2/2022,8/2/2022,2022,August,2,214,Tuesday   ,22,2022,August,2,214,Tuesday   ,22,D41,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,Assault,126,Dorset Park (126),126,Dorset Park (126),-79.28532019,43.76852204
96028,GO-20162108515,11/28/2016,11/28/2016,2016,November,28,333,Monday    ,0,2016,November,28,333,Monday    ,0,D41,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,121,Oakridge (121),121,Oakridge (121),-79.27966797,43.69493452
255603,GO-2021698855,4/16/2021,4/14/2021,2021,April,16,106,Friday    ,14,2021,April,14,104,Wednesday ,19,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,95,Annex (95),95,Annex (95),-79.39405045,43.67320271
7445,GO-20141820409,4/3/2014,4/3/2014,2014,April,3,93,Thursday  ,12,2014,April,3,93,Thursday  ,12,D54,"Apartment (Rooming House, Condo)",Apartment,2120,200,B&E,Break and Enter,60,Woodbine-Lumsden (60),60,Woodbine-Lumsden (60),-79.31741164,43.6994959
26044,GO-20143154793,10/22/2014,10/22/2014,2014,October,22,295,Wednesday ,17,2014,October,22,295,Wednesday ,16,D33,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,1430,100,Assault,Assault,52,Bayview Village (52),52,Bayview Village (52),-79.36417813,43.7694094
